,No. overall,No. in season,Title,Stardate,Directed by,Written by,Original air date,U.S. viewers (millions),merge_index
3,103,3,"""Ensign Ro""",45076.3,Les Landau,Teleplay: Michael Piller Story: Rick Berman & Michael Piller,"October?7,?1991?(1991-10-07)",11.6[6],102
4,104,4,"""Silicon Avatar""",45122.3,Cliff Bole,Teleplay: Jeri Taylor Story: Lawrence V. Conley,"October?14,?1991?(1991-10-14)",12.0[6],103
5,105,5,"""Disaster""",45156.1,Gabrielle Beaumont,Teleplay: Ronald D. Moore Story: Ron Jarvis & Philip A. Scorza,"October?21,?1991?(1991-10-21)",12.3[6],104
6,106,6,"""The Game""",45208.2,Corey Allen,Teleplay: Brannon Braga Story: Susan Sackett & Fred Bronson and Brannon Braga,"October?28,?1991?(1991-10-28)",13.4[6],105
7,107,7,"""Unification I""",45233.1,Les Landau,Teleplay: Jeri Taylor Story: Rick Berman and Michael Piller,"November?4,?1991?(1991-11-04)",15.4[6],106
8,108,8,"""Unification II""",45245.8,Cliff Bole,Teleplay: Michael Piller Story: Rick Berman and Michael Piller,"November?11,?1991?(1991-11-11)",15.4[6],107
9,109,9,"""A Matter of Time""",45349.1,Paul Lynch,Rick Berman,"November?18,?1991?(1991-11-18)",13.9[6],108
10,110,10,"""New Ground""",45376.3,Robert Scheerer,Teleplay: Grant Rosenberg Story: Sara Charno and Stuart Charno,"January?6,?1992?(1992-01-06)",11.9[6],109
11,111,11,"""Hero Worship""",45397.3,Patrick Stewart,Teleplay: Joe Menosky Story: Hilary J. Bader,"January?27,?1992?(1992-01-27)",12.7[6],110
12,112,12,"""Violations""",45429.3,Robert Wiemer,Teleplay: Pamela Gray and Jeri Taylor Story: Shari Goodhartz and T. Michael and Pamela Gray,"February?3,?1992?(1992-02-03)",12.1[6],111
13,113,13,"""The Masterpiece Society""",45470.1,Winrich Kolbe,Teleplay: Adam Belanoff and Michael Piller Story: James Kahn and Adam Belanoff,"February?10,?1992?(1992-02-10)",12.0[6],112
14,114,14,"""Conundrum""",45494.2,Les Landau,Teleplay: Barry Schkolnick Story: Paul Schiffer,"February?17,?1992?(1992-02-17)",12.2[6],113
